Date,Original Plan,New Evidence / Problem,What Was Tested,Reason for Adjustment,What I Learned
9.10,Directly study whether spread volatility increases,When individual stock volatility is already rising; directly studying spread volatility increase is almost trivially true,-,Controlled for individual stock volatility; changed to study excess spread volatility relative to individual stock volatility which is measured by linear regression residual,Research design must control for confounding variables; otherwise conclusions have no information value
9.11,Use 44 pairs to run separate regressions on three test periods,"Only 44 data points per period, the linear regression was not significant; Can't rule out the effect of aged pairs","Tried pooled regression (176 data points); also used 28 updated pairs as robustness check","Pooled regression is significant, but smooths period differences, only used as supplement; updated pairs further support excess volatility relative to individual stock volatility","Each experiment setting has its limitation, we need to set up different experiments to do cross comparison to reach a conclusion"
9.11,Regard excess spread volatility as a widespread phenomenon in Test2,"In Test2, residual median was negative (-0.0704), while kurtosis was extremely high (38.79)","Checked residual distribution and concentration and found AAPL-HPE (2.4119) contributed 79.3% of positive residuals, the top 5 pairs accounted for 97.785%","Excess expansion is driven by a few extreme pairs; need to separate extreme and normal pairs for layered analysis","The result might not be universal, we need to dive into its distribution"
9.12,Assumed p-value increase indicates pair relationship breakdown; four indicators told inconsistent stories,"p-value already rose broadly in test1 (median > 0.38); Some of the half-life extended while some are stable; Hurst decreased and correlation rose",Calculated cointegration beta across periods; examined the meaning of each indicator,"p-value increase does not equal relationship breakdown, may be a statistical artifact from beta drift; beta drift explains the contradictions: it causes p-value increase and half-life extension, but Hurst still shows mean reversion",Cannot judge pair relationships from a single indicator; different indicators measure different dimensions and need to be interpreted together
9.12,Thought all pairs were breaking down,Normal and extreme pairs had different recovery rates when recalculating p-values using test-period beta,Recalculated p-values using test-period beta and compared recovery rates between the two groups,"In test3, 48% of normal pairs recovered, yet only 20% of extreme pairs recovered, showing normal pairs' p-value increase is largely driven by beta drift, while extreme pairs' p-value increase may genuinely indicates breakdown in pair relationship",Normal and extreme pairs are fundamentally different
9.13,Originally planned to use fixed beta for profitability,Found beta drift happens widely and persistently; fixed beta may fail to benefit; literature shows beta drift is widespread and Kalman filter is a must,Tested 6 delta values (1e-5 to 1e-2),"Switched to Kalman filter to dynamically track beta; delta=1e-3 performed best in test1 and test2, 5e-3 close behind",Method selection should be based on data characteristics not defaults; parameter selection requires sensitivity checks
